MUNICIPIO;VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
ALBAN;SAN BOSCO;HUECO HONDO;10;07/02/2024;1,450175;77,071031;
ALBAN;EL CARMELO;LA CHOZONA;1;01/02/2024;1,783333;77,12625;https://drive.google.com/file/d/1VCHnEJxDNp450Y6jDDXNOa8GqVNv9oEi/view?usp=sharing
ALBAN;SAN LUIS;CHORRO VIEJO;;;1,460747;77,083236;
ALBAN;SAN BOSCO;EL HIGUERON;11;07/02/2024;1,450175;77,071031;
ALDANA;SAN LUIS;POZO PROFUNDO;2;05/02/2024;0,857422;77,679547;
ALDANA;SANTA BARBARA;QUEBRADA CHICHIGUAS;12;07/02/2023;0,888614;77,695858;
ALDANA;SANTA BARBARA;QUEBRADA CANTORES;5;05/02/2024;0,888614;77,695858;
ALDANA;MUESAS;QUEBRADA QUINTA;13;08/02/2024;0,919864;77,706719;
ANCUYA;EL PEDREGAL;LA CHORRERA;6;05/02/2024;1,265;77,525278;https://drive.google.com/file/d/1w02UmkxPcweOeKu9pV58Ne-yGO9i-uSX/view?usp=sharing
ANCUYA;NO REGISTRA;QUEBRADA EL GUABAL;14;08/02/2024;1,265319;77,522861;
ANCUYA;NO REGISTRA;ARROYO EL JUNCAL;7;06/02/2024;1,272;77,523;https://drive.google.com/file/d/1WHCgIIs_n16XAd58GbCraYcLGqjkLLx8/view?usp=sharing
ANCUYA;NO REGISTRA;ARROYO EL GUAYCO;15;08/02/2024;1,29;77,527;https://drive.google.com/file/d/1xJvVEuY6zHtxnxyZR3SUZqJeuB6CFn-X/view?usp=sharing
ANCUYA;EL PEDREGAL;QUEBRADA HONDA;53;15/05/2024;1,265;77,525278;
ARBOLEDA;CHIRIURCO;EL MAYO;4;05/02/2024;1,506497;77,133356;https://drive.google.com/file/d/1zqWKfV2xatsa4dVMTvLDSn8JIBNWRIL3/view?usp=sharing
