MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
ALBAN;CARMELO;LA CHOZONA;154;2023-07-07;1.783333;-77.12625;https://drive.google.com/file/d/1VCHnEJxDNp450Y6jDDXNOa8GqVNv9oEi/view?usp=sharing
ALDANA;MUESAS;CIENAGA LARGA;249;2023-10-09;0.923589;-77.707164;
ALDANA;LA LAGUNA;PUSIALQUER;235;2023-09-19;0.882547;-77.700425;
ANCUYA;EL PEDREGAL;LA CHORRERA;138;2023-06-27;1.265;-77.525278;https://drive.google.com/file/d/1w02UmkxPcweOeKu9pV58Ne-yGO9i-uSX/view?usp=sharing
ANCUYA;TUZNIAN;EL SALADO;137;2023-06-26;1.259203;-77.523708;
BARBACOAS;CABALLERO;CABALLERO;347;2023-12-19;1.650622;-78.154753;
BARBACOAS;GUENDAN;PUNDE;341;2023-12-18;1.6167;-78.116661;
BARBACOAS;TINAJILLA;GUAGUÍ;348;2023-12-19;1.583319;-78.116661;
BARBACOAS;SAN MIGUEL;BOCAS DE PANGA;353;2023-12-26;1.583336;-77.949981;
BARBACOAS;TELAIME;BARRO BLANCO;368;2023-12-29;1.695808;-78.101622;
BARBACOAS;LA HUMILDAD;LA CHAPIRITA;354;2023-12-26;1.676375;-78.105225;
BARBACOAS;SOLEDAD;EL ANGEL;358;2023-12-29;1.676375;-78.000153;
BUESACO;LLANO LARGO;GUAIRAPUNGO;37;2023-02-13;1.315;-77.1875;https://drive.google.com/file/d/1ZmlSXhOUl8mAAaMLhd1Ktplc09O2USpv/view?usp=sharing
BUESACO;EL PALMAR;EL MOTILON;121;2023-06-15;1.293758;-77.229247;
BUESACO;VILLAMORENO - EL PALMAR;MENESES;143;2023-07-04;1.286039;-77.229581;
BUESACO;SAN IGNACIO;QUEBRADA LA SASHA;164;2023-07-18;1.305308;-77.133389;
BUESACO;LA SASHA;LA SASHA;157;2023-07-11;1.244722;-77.135556;
BUESACO;QUITOPAMBA ALTO;CHARGUAYACO;165;2023-07-18;1.352064;-77.178469;
BUESACO;HATO TONGOSOY ALTO;EL LINDERO;332;2023-12-14;1.38335;-77.198192;
BUESACO;EL PALMAR;SIN NOMBRE;291;2023-11-27;1.293758;-77.229247;
BUESACO;LA LOMA FRANCO VILLA;PEÑA NEGRA;349;2023-12-19;1.414536;-77.135844;
CHACHAGUI;LAS VUELTAS;LAS VUELTAS;25;2023-02-03;1.346408;-77.277756;
CHACHAGUI;TRISAGIO;LA HONDA;81;2023-05-02;1.383614;-77.229672;https://drive.google.com/file/d/1vxEcL4V2XZ4PVu8Re__-fUYSm-6QjQ4X/view?usp=sharing
CHACHAGUI;PALMAS BAJO;AGUAS CLARAS;91;2023-05-09;1.225336;-77.419022;
CHACHAGUI;HATO VIEJO;PIEDRA INCHINA;92;2023-05-09;1.198075;-77.431356;
